Species	Br	Bd	Bd^2
Rhinolophus_macrotis	-0.681936665	0.799340549	0.638945313
Rhinolophus_malayanus	-0.694648631	0.806179974	0.64992615
Rhinolophus_megaphyllus	-0.583359493	0.991226076	0.982529134
Rhinolophus_mehelyi	-0.508638306	0.986771734	0.973718455
Rhinolophus_pearsonii	-0.478861916	1.1430148	1.306482833
Rhinolophus_pusillus	-0.785156152	0.672097858	0.451715531
Rhinolophus_robinsoni	-0.557520231	0.924279286	0.854292199
Rhinolophus_thomasi	-0.632644079	0.954242509	0.910578766
Rhinolophus_trifoliatus	-0.453457337	1.164352856	1.355717573
Rhinonicteris_aurantia	-0.605548319	0.934498451	0.873287355
Rhinophylla_pumilio	-0.448550002	0.949390007	0.901341385
Rhinopoma_hardwickii	-0.560667306	1.11058971	1.233409504
Rhinopoma_microphyllum	-0.412289035	1.46834733	2.156043882
Rhogeessa_parvula	-0.950781977	0.653212514	0.426686588
Rhogeessa_tumida	-0.974694135	0.707570176	0.500655554
Rhynchonycteris_naso	-0.958607315	0.633468456	0.401282285
Rousettus_aegyptiacus	0.414973348	2.113943352	4.468756495
Saccopteryx_bilineata	-0.657577319	0.903089987	0.815571525
Saccopteryx_canescens	-0.886056648	0.531478917	0.282469839
Saccopteryx_leptura	-0.793174124	0.707570176	0.500655554
Scotomanes_ornatus	-0.415668776	1.338456494	1.791465786
Scotophilus_dinganii	-0.359518563	1.385606274	1.919904747
Scotophilus_kuhlii	-0.467245621	1.309630167	1.715131174
Scotophilus_nigrita	0.019531685	2.005609445	4.022469246
Sphaeronycteris_toxophyllum	-0.280668713	1.264817823	1.599764125
Sturnira_lilium	-0.283996656	1.23299611	1.520279407
Sturnira_ludovici	-0.170053304	1.413299764	1.997416223
Sturnira_tildae	-0.154281982	1.387389826	1.924850529
Tadarida_aegyptiaca	-0.40560745	1.247973266	1.557437273
Taphozous_australis	-0.286509457	1.380211242	1.904983073
Taphozous_longimanus	-0.327902142	1.365487985	1.864557437
Taphozous_mauritianus	-0.258848401	1.462397998	2.138607905
Taphozous_melanopogon	-0.27083521	1.356025857	1.838806125
Thyroptera_tricolor	-0.638272164	0.653212514	0.426686588
Tonatia_bidens	-0.103473783	1.46834733	2.156043882
Trachops_cirrhosus	0.001300933	1.567026366	2.455571632
Triaenops_persicus	-0.567030709	1.136720567	1.292133647
Tylonycteris_pachypus	-1.096910013	0.681241237	0.464089623
Tylonycteris_robustula	-0.93930216	0.857332496	0.735019009
Uroderma_bilobatum	-0.27572413	1.214843848	1.475845575
Vampyressa_pusilla	-0.4225082	0.934498451	0.873287355
Vampyrum_spectrum	0.412796429	2.238046103	5.008850359
Bettongia_gaimardi	1.083545617	3.104828404	9.639959418
Bettongia_penicillata	0.995817648	2.991669007	8.950083447
Cercartetus_concinnus	-0.50751899	0.977723605	0.955943448
Cercartetus_lepidus	-0.428337744	0.892094603	0.795832781
Dactylopsila_trivirgata	0.78102831	2.704150517	7.312430019
Dendrolagus_dorianus	1.524562278	3.897462138	15.19021112
Dendrolagus_inustus	1.493926251	4.005137596	16.04112716
Distoechurus_pennatus	-0.011512391	1.657055853	2.7458341
Gymnobelideus_leadbeateri	0.470204615	1.956648579	3.828473662
Lagorchestes_conspicillatus	1.161487791	3.30427505	10.91823361
Macropus_antilopinus	1.769708091	4.495350041	20.20817199
Macropus_eugenii	1.390108101	3.645913275	13.29268361
Macropus_giganteus	1.790115119	4.510115119	20.34113839
Macropus_parma	1.240549248	3.575187845	12.78196813
Macropus_parryi	1.631309807	4.181672122	17.48638174
Macropus_robustus	1.786211767	4.550717423	20.70902906
Macropus_rufogriseus	1.581471774	4.088401902	16.71503011
Onychogalea_fraenata	1.130333768	3.15624619	9.961890012
Petauroides_volans	0.686532598	2.954242509	8.727548802
Petrogale_concinna	1.056752441	3.148294097	9.911755721
Petrogale_penicillata	1.393757656	3.777426822	14.2689534
Petrogale_persephone	1.347798215	3.758306182	14.12486536
Phalanger_carmelitae	0.944267446	3.244029589	10.52372797
Phalanger_orientalis	0.934960779	3.223755454	10.39259923
Phalanger_vestitus	0.99490813	3.223236273	10.38925207
Pseudocheirus_peregrinus	0.761993954	2.880241776	8.295792688
Setonix_brachyurus	1.243038049	3.544068044	12.5604183
Spilocuscus_maculatus	1.142464554	3.495127881	12.2159189
Thylogale_billardierii	1.359752029	3.558468563	12.66269851
Thylogale_thetis	1.298660984	3.567496891	12.72703407
Trichosurus_vulpecula	1.056828653	3.245759356	10.5349538
Vombatus_ursinus	1.786211767	4.434441152	19.66426833
Wallabia_bicolor	1.514547753	4.214843848	17.76490866
Atelerix_albiventris	0.350248018	2.447158031	5.988582429
